Name,Type,SubType,Suburb,Rating,PriceLevel,RankingPosition,Address,Latitude,Longitude,NumberOfReviews
Little Ramen Bar,Restaurant,,Melbourne,4,$,236,"369 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8158514,144.9626074,173
Red Pepper Indian Restaurant,Restaurant,,Melbourne,4,$$ - $$$,254,"14 Bourke St, Melbourne, Victoria 3000 Australia",-37.811314,144.972481,408
Miyako Japanese Cuisine & Teppanyaki,Restaurant,,Southbank,4,$$ - $$$,250,"3 Southgate Ave Upper Level, Shop UR2, Southgate Arts & Leisure Precinct, Melbourne, Victoria 3006 Australia",-37.820556,144.965833,323
BearBrass,Restaurant,,Southbank,4,$$ - $$$,252,"Shop GR3A 3 Southgate Ave Southbank VIC, Melbourne, Victoria 3006 Australia",-37.820556,144.965833,625
Shujinko,Restaurant,,Melbourne,4,$,261,"225 Russell St, Melbourne, Victoria 3000 Australia",-37.811322,144.967134,142
Kisume,Restaurant,,Melbourne,4,$$$$,234,"175 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8161823,144.9686911,399
Cafe Andiamo,Restaurant,,Melbourne,4,$$ - $$$,226,"36-38 Degraves Lane, Melbourne, Victoria 3000 Australia",-37.8169409,144.9658414,553
The Deck Restaurant,Restaurant,,Southbank,4,$$ - $$$,216,"Upper Level Southgate Southgate Centre, Southgate Arts & Leisure Complex/3, Melbourne, Victoria 3006 Australia",-37.8203389,144.9660726,284
Teatro,Restaurant,,Southbank,4,$$ - $$$,206,"Southbank Promenade Tenancy A Hamer Hall, Melbourne, Victoria 3006 Australia",-37.8201455,144.9679946,510
Meatmaiden,Restaurant,,Melbourne,4,$$ - $$$,204,"195 Little Collins St Basement, Melbourne, Victoria 3000 Australia",-37.814305,144.9677607,344
China Red,Restaurant,,Melbourne,4,$$ - $$$,181,"Shop 6 206 Bourke St, Melbourne, Victoria 3000 Australia",-37.8129003,144.9670263,353
The Atlantic Restaurant,Restaurant,,Southbank,4,$$$$,207,"Crown Entertainment Complex 8 Whiteman St Crown Entertainment Complex, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,1570
Rockpool Bar & Grill,Restaurant,,Southbank,4,$$$$,189,"Crown Complex Southbank, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,1961
Hophaus Bar,Restaurant,,Southbank,4,$$ - $$$,251,"Southgate Ave Shop MR5, Mid-Level, Southbank Promenade, Melbourne, Victoria 3006 Australia",-37.8202212,144.9657009,471
Waiters Restaurant - Italian Waiters Club,Restaurant,,Melbourne,4,$$ - $$$,183,"20 Meyers Pl, Melbourne, Victoria 3000 Australia",-37.8120825,144.9723485,282
Spaghetti Tree,Restaurant,,Melbourne,4,$$ - $$$,171,"59 Bourke St, Melbourne, Victoria 3000 Australia",-37.8119715,144.9715104,786
Arbory Bar & Eatery,Restaurant,,Melbourne,4,$$ - $$$,194,"Flinders Walk, Melbourne, Victoria 3000 Australia",-37.8188668,144.9676883,827
La Spaghettata,Restaurant,,Carlton,4,$$ - $$$,163,"238 Lygon St, Melbourne, Victoria 3053 Australia",-37.8016021,144.9671293,536
Triim Food & Drink,Restaurant,,Melbourne,4,$$ - $$$,259,"33 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8138416,144.9612009,224
