name,rankingPosition,priceLevel,category,rating,address,Latitude,Longitude,numberOfReviews
Caffe e Cucina,147,$$ - $$$,restaurant,4,"581 Chapel St South Yarra, Melbourne, Victoria 3141 Australia",-37.8401884,144.9952627,490
Melba Restaurant,125,$$$$,restaurant,4,"1 Southgate Ave The Langham, Southbank, Melbourne, Victoria 3006 Australia",-37.8205751,144.9656601,1306
Chokolait Hub,106,$$ - $$$,restaurant,4.5,"287 Lonsdale St Shop 342, Level 3, Emporium, Melbourne, Victoria 3000 Australia",-37.8123362,144.9637384,410
Waterfront,99,$$$$,restaurant,4,"Southgate Avenue Shop 20/3, Melbourne, Victoria 3006 Australia",-37.8204031,144.9662873,1525
HQ's On William,122,$$ - $$$,restaurant,4.5,"380 William St Radisson on Flagstaff Gardens, Melbourne, Victoria 3000 Australia",-37.8103603,144.9560809,306
Bottega,96,$$$$,restaurant,4,"74 Bourke St, Melbourne, Victoria 3000 Australia",-37.8117213,144.9710448,405
Shanghai Street,121,$,restaurant,4,"342 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8132158,144.9623952,595
Lupino Bistro and Bar,16,$$ - $$$,restaurant,4.5,"41 Little Collins St, Melbourne, Victoria 3000 Australia",-37.812776,144.9723611,416
Mamak,116,$,restaurant,4,"366 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8122826,144.9615784,514
Donovans,1,$$$$,restaurant,4.5,"40 Jacka Boulevard, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8685776,144.9751279,1022
Brick Lane Melbourne,14,$$ - $$$,restaurant,4.5,"33 Guildford Lane, Melbourne, Victoria 3000 Australia",-37.8114463,144.9598499,208
No35,104,$$$$,restaurant,4,"35/25 Collins St Level 35, Melbourne, Victoria 3000 Australia",-37.8139461,144.9734456,929
La Camera Restaurant Southgate,145,$$ - $$$,restaurant,4,"Shop MR2, Mid-level, Southgate Southbank, Melbourne, Victoria 3006 Australia",-37.8203389,144.9660726,1148
Brother Baba Budan,30,$,restaurant,4.5,"359 Little Bourke St Cbd, Melbourne, Victoria 3000 Australia",-37.813541,144.9620988,440
Japanese Teppanyaki Inn,107,$$$$,restaurant,4.5,"182 Collins St, Melbourne, Victoria 3000 Australia",-37.8150015,144.9675291,219
Rosa's Canteen,138,$$ - $$$,restaurant,4.5,"Cnr Little Bourke & Thomson St Level 1, Melbourne, Victoria 3000 Australia",-37.8144103,144.9587573,154
Two Birds One Stone,101,$$ - $$$,restaurant,4.5,"12 Claremont St, Melbourne, Victoria 3141 Australia",-37.8379997,144.9940221,366
Red Emperor Chinese Restaurant,165,$$ - $$$,restaurant,4,"3 Southgate Ave M10/ Mid Level, Melbourne, Victoria 3006 Australia",-37.82009,144.9663893,534
Squires Loft South Yarra,93,$$ - $$$,restaurant,4.5,"166 Toorak Rd, Melbourne, Victoria 3141 Australia",-37.8379464,144.9851537,383
Grossi  Florentino,133,$$$$,restaurant,4,"80 Bourke St, Melbourne, Victoria 3000 Australia",-37.8117334,144.9708074,1262
